Treatment,Replicate,Target,Concentration,Distance
HB_PG_STLHD,R2,STLHD,2.555555555,30
HB_PG_STLHD,R2,STLHD,2.24,40
HB_PG_STLHD,R3,STLHD,4.042222222,0
HB_PG_STLHD,R3,STLHD,3.644444445,10
HB_PG_STLHD,R3,STLHD,2.488888889,20
HB_PG_STLHD,R3,STLHD,2.155555555,30
HB_PG_STLHD,R3,STLHD,1.466666667,40
HB_PG_STLHD,R4,STLHD,4.177777778,0
HB_PG_STLHD,R4,STLHD,4.022222222,10
HB_PG_STLHD,R4,STLHD,3.777777778,20
HB_PG_STLHD,R4,STLHD,2.133333333,30
HB_PG_STLHD,R4,STLHD,1.855555556,40
HB_SAND_CARP,R1,CARP,1.677777778,0
HB_SAND_CARP,R1,CARP,1.900108936,10
HB_SAND_CARP,R1,CARP,0.958888889,20
HB_SAND_CARP,R1,CARP,1.997255934,30
HB_SAND_CARP,R1,CARP,1.795974705,40
HB_SAND_CARP,R2,CARP,1.80929101,0
HB_SAND_CARP,R2,CARP,1.133333334,10
HB_SAND_CARP,R2,CARP,1.185555555,20
HB_SAND_CARP,R2,CARP,1.646666667,30
HB_SAND_CARP,R2,CARP,1.444444444,40
HB_SAND_CARP,R3,CARP,0.16,0
HB_SAND_CARP,R3,CARP,1.595555556,10
HB_SAND_CARP,R3,CARP,1.306666667,20
HB_SAND_CARP,R3,CARP,2.111111111,30
HB_SAND_CARP,R3,CARP,0.742671476,40
HB_SAND_CARP,R4,CARP,1.246666666,0
HB_SAND_CARP,R4,CARP,1.284444445,10
HB_SAND_CARP,R4,CARP,1.762222222,20
HB_SAND_CARP,R4,CARP,2.242222222,30
HB_SAND_CARP,R4,CARP,1.028603206,40
HB_SAND_STLHD,R1,STLHD,3.066666667,0
HB_SAND_STLHD,R1,STLHD,2.383379137,10
HB_SAND_STLHD,R1,STLHD,1.577777778,20
HB_SAND_STLHD,R1,STLHD,2.422222222,30
HB_SAND_STLHD,R1,STLHD,3.711111111,40
HB_SAND_STLHD,R2,STLHD,2.089069455,0
HB_SAND_STLHD,R2,STLHD,1.611111111,10
HB_SAND_STLHD,R2,STLHD,2.046666667,20
HB_SAND_STLHD,R2,STLHD,3.444444445,30
HB_SAND_STLHD,R2,STLHD,1.966666666,40
HB_SAND_STLHD,R3,STLHD,0.697777778,0
HB_SAND_STLHD,R3,STLHD,1.646666666,10
HB_SAND_STLHD,R3,STLHD,1.333333334,20
HB_SAND_STLHD,R3,STLHD,2.822222223,30
HB_SAND_STLHD,R3,STLHD,2.6,40
HB_SAND_STLHD,R4,STLHD,2.48,0
HB_SAND_STLHD,R4,STLHD,2.393333333,10
HB_SAND_STLHD,R4,STLHD,2.222222222,20
HB_SAND_STLHD,R4,STLHD,2.866666667,30
HB_SAND_STLHD,R4,STLHD,2.888888889,40
SH_COB_CARP,R1,CARP,1.497260151,0
SH_COB_CARP,R1,CARP,1.979239352,10
SH_COB_CARP,R1,CARP,1.466291633,20
SH_COB_CARP,R1,CARP,0.85740455,30
SH_COB_CARP,R1,CARP,0.734799277,40
SH_COB_CARP,R2,CARP,1.507777777,0
SH_COB_CARP,R2,CARP,1.719457769,10
SH_COB_CARP,R2,CARP,1.107411465,20
SH_COB_CARP,R2,CARP,0.653333333,30
SH_COB_CARP,R2,CARP,0.806835083,40
SH_COB_CARP,R3,CARP,1.317777778,0
SH_COB_CARP,R3,CARP,1.022110601,10
SH_COB_CARP,R3,CARP,1.181524311,20
SH_COB_CARP,R3,CARP,0.928888889,30
SH_COB_CARP,R3,CARP,0.926666667,40
SH_COB_CARP,R4,CARP,1.271111111,0
SH_COB_CARP,R4,CARP,0.933333333,10
SH_COB_CARP,R4,CARP,1.157028568,20
SH_COB_CARP,R4,CARP,0.870315596,30
SH_COB_CARP,R4,CARP,0.887148157,40
SH_COB_STLHD,R1,STLHD,3.666666666,0
SH_COB_STLHD,R1,STLHD,3.611111111,10
SH_COB_STLHD,R1,STLHD,2.411111111,20
SH_COB_STLHD,R1,STLHD,1.422222222,30
SH_COB_STLHD,R1,STLHD,2.086868687,40
SH_COB_STLHD,R2,STLHD,3.511111111,0
SH_COB_STLHD,R2,STLHD,4.166666666,10
SH_COB_STLHD,R2,STLHD,1.966666666,20
SH_COB_STLHD,R2,STLHD,2.433333334,30
SH_COB_STLHD,R2,STLHD,1.625697001,40
SH_COB_STLHD,R3,STLHD,3.555555556,0
SH_COB_STLHD,R3,STLHD,2.633333333,10
SH_COB_STLHD,R3,STLHD,2.422222222,20
SH_COB_STLHD,R3,STLHD,1.444444444,30
SH_COB_STLHD,R3,STLHD,2.155555555,40
SH_COB_STLHD,R4,STLHD,3.2,0
SH_COB_STLHD,R4,STLHD,3.366666666,10
SH_COB_STLHD,R4,STLHD,1.688888889,20
SH_COB_STLHD,R4,STLHD,1.888888889,30
SH_COB_STLHD,R4,STLHD,2.088888889,40
SH_MIX_CARP,R1,CARP,5.333333333,0
SH_MIX_CARP,R1,CARP,5.777777777,10
SH_MIX_CARP,R1,CARP,7.466666666,20
SH_MIX_CARP,R1,CARP,4.144444444,30
SH_MIX_CARP,R1,CARP,2.506666666,40
SH_MIX_CARP,R2,CARP,4.388888889,0
