Treatment,Replicate,Filter,Target,Concentration,Hours
A_NP_CARP,2,1,CARP,77778,0
A_NP_CARP,2,1,CARP,14175,5
A_NP_CARP,2,1,CARP,0,17
A_NP_CARP,2,1,CARP,0,29
A_NP_CARP,2,10,CARP,313194,0
A_NP_CARP,2,10,CARP,20520,5
A_NP_CARP,2,10,CARP,2550,17
A_NP_CARP,2,10,CARP,0,29
B_PG_CARP,3,0.2,CARP,309028,0
B_PG_CARP,3,0.2,CARP,45839,5
B_PG_CARP,3,0.2,CARP,9392,17
B_PG_CARP,3,0.2,CARP,2416,29
B_PG_CARP,3,1,CARP,119444,0
B_PG_CARP,3,1,CARP,4208,5
B_PG_CARP,3,1,CARP,0,17
B_PG_CARP,3,1,CARP,0,29
B_PG_CARP,3,10,CARP,45833,0
B_PG_CARP,3,10,CARP,0,5
B_PG_CARP,3,10,CARP,0,17
B_PG_CARP,3,10,CARP,0,29
A_NP_CARP,3,0.2,CARP,264583,0
A_NP_CARP,3,0.2,CARP,28773,5
A_NP_CARP,3,0.2,CARP,12070,17
A_NP_CARP,3,0.2,CARP,5343,29
A_NP_CARP,3,1,CARP,63194,0
A_NP_CARP,3,1,CARP,14560,5
A_NP_CARP,3,1,CARP,3704,17
A_NP_CARP,3,1,CARP,1804,29
A_NP_CARP,3,10,CARP,80556,0
A_NP_CARP,3,10,CARP,189973,5
A_NP_CARP,3,10,CARP,5863,17
A_NP_CARP,3,10,CARP,5858,29
F_TIO2_CARP,3,0.2,CARP,0,0
F_TIO2_CARP,3,0.2,CARP,0,5
F_TIO2_CARP,3,0.2,CARP,0,17
F_TIO2_CARP,3,0.2,CARP,0,29
F_TIO2_CARP,3,1,CARP,0,0
F_TIO2_CARP,3,1,CARP,0,5
F_TIO2_CARP,3,1,CARP,0,17
F_TIO2_CARP,3,1,CARP,0,29
F_TIO2_CARP,3,10,CARP,3410,0
F_TIO2_CARP,3,10,CARP,12657,5
F_TIO2_CARP,3,10,CARP,0,17
F_TIO2_CARP,3,10,CARP,5620,29
D_Algae_CARP,3,0.2,CARP,94444,0
D_Algae_CARP,3,0.2,CARP,23056,5
D_Algae_CARP,3,0.2,CARP,0,17
D_Algae_CARP,3,0.2,CARP,0,29
D_Algae_CARP,3,1,CARP,86806,0
D_Algae_CARP,3,1,CARP,4433,5
D_Algae_CARP,3,1,CARP,0,17
D_Algae_CARP,3,1,CARP,0,29
D_Algae_CARP,3,10,CARP,46042,0
D_Algae_CARP,3,10,CARP,4358,5
D_Algae_CARP,3,10,CARP,1831,17
D_Algae_CARP,3,10,CARP,0,29
C_FPOM_CARP,3,0.2,CARP,230556,0
C_FPOM_CARP,3,0.2,CARP,26409,5
C_FPOM_CARP,3,0.2,CARP,3348,17
C_FPOM_CARP,3,0.2,CARP,0,29
C_FPOM_CARP,3,1,CARP,43542,0
C_FPOM_CARP,3,1,CARP,7936,5
C_FPOM_CARP,3,1,CARP,0,17
C_FPOM_CARP,3,1,CARP,0,29
C_FPOM_CARP,3,10,CARP,13611,0
C_FPOM_CARP,3,10,CARP,0,5
C_FPOM_CARP,3,10,CARP,0,17
C_FPOM_CARP,3,10,CARP,0,29
E_Clay_CARP,3,0.2,CARP,0,0
E_Clay_CARP,3,0.2,CARP,0,5
E_Clay_CARP,3,0.2,CARP,0,17
E_Clay_CARP,3,0.2,CARP,0,29
E_Clay_CARP,3,1,CARP,0,0
E_Clay_CARP,3,1,CARP,0,5
E_Clay_CARP,3,1,CARP,0,17
E_Clay_CARP,3,1,CARP,0,29
E_Clay_CARP,3,10,CARP,0,0
E_Clay_CARP,3,10,CARP,64757,5
E_Clay_CARP,3,10,CARP,17036,17
E_Clay_CARP,3,10,CARP,1706,29
D_Algae_CARP,4,0.2,CARP,178472,0
D_Algae_CARP,4,0.2,CARP,19157,5
D_Algae_CARP,4,0.2,CARP,0,17
D_Algae_CARP,4,0.2,CARP,0,29
D_Algae_CARP,4,1,CARP,75694,0
D_Algae_CARP,4,1,CARP,8073,5
D_Algae_CARP,4,1,CARP,0,17
D_Algae_CARP,4,1,CARP,0,29
D_Algae_CARP,4,10,CARP,16111,0
D_Algae_CARP,4,10,CARP,3708,5
D_Algae_CARP,4,10,CARP,0,17
D_Algae_CARP,4,10,CARP,0,29
C_FPOM_CARP,4,0.2,CARP,143750,0
C_FPOM_CARP,4,0.2,CARP,18746,5
C_FPOM_CARP,4,0.2,CARP,0,17
C_FPOM_CARP,4,0.2,CARP,0,29
C_FPOM_CARP,4,1,CARP,76389,0
C_FPOM_CARP,4,1,CARP,5432,5
C_FPOM_CARP,4,1,CARP,0,17
C_FPOM_CARP,4,1,CARP,0,29
C_FPOM_CARP,4,10,CARP,47014,0
C_FPOM_CARP,4,10,CARP,0,5
C_FPOM_CARP,4,10,CARP,0,17
C_FPOM_CARP,4,10,CARP,0,29
B_PG_CARP,4,0.2,CARP,167361,0
B_PG_CARP,4,0.2,CARP,41461,5
B_PG_CARP,4,0.2,CARP,8915,17
B_PG_CARP,4,0.2,CARP,1719,29
B_PG_CARP,4,1,CARP,41528,0
B_PG_CARP,4,1,CARP,7800,5
B_PG_CARP,4,1,CARP,1892,17
B_PG_CARP,4,1,CARP,0,29
B_PG_CARP,4,10,CARP,56667,0
B_PG_CARP,4,10,CARP,0,5
B_PG_CARP,4,10,CARP,0,17
B_PG_CARP,4,10,CARP,0,29
E_Clay_CARP,4,0.2,CARP,0,0
E_Clay_CARP,4,0.2,CARP,0,5
E_Clay_CARP,4,0.2,CARP,0,17
E_Clay_CARP,4,0.2,CARP,0,29
E_Clay_CARP,4,1,CARP,0,0
E_Clay_CARP,4,1,CARP,0,5
E_Clay_CARP,4,1,CARP,0,17
E_Clay_CARP,4,1,CARP,0,29
E_Clay_CARP,4,10,CARP,102778,0
E_Clay_CARP,4,10,CARP,25109,5
E_Clay_CARP,4,10,CARP,0,17
E_Clay_CARP,4,10,CARP,0,29
F_TIO2_CARP,4,0.2,CARP,0,0
F_TIO2_CARP,4,0.2,CARP,0,5
F_TIO2_CARP,4,0.2,CARP,0,17
F_TIO2_CARP,4,0.2,CARP,0,29
F_TIO2_CARP,4,1,CARP,0,0
F_TIO2_CARP,4,1,CARP,0,5
F_TIO2_CARP,4,1,CARP,0,17
F_TIO2_CARP,4,1,CARP,0,29
F_TIO2_CARP,4,10,CARP,0,0
F_TIO2_CARP,4,10,CARP,3476,5
F_TIO2_CARP,4,10,CARP,0,17
F_TIO2_CARP,4,10,CARP,0,29
A_NP_CARP,4,0.2,CARP,127778,0
A_NP_CARP,4,0.2,CARP,19499,5
A_NP_CARP,4,0.2,CARP,6404,17
A_NP_CARP,4,0.2,CARP,0,29
A_NP_CARP,4,1,CARP,66111,0
A_NP_CARP,4,1,CARP,10810,5
A_NP_CARP,4,1,CARP,0,17
A_NP_CARP,4,1,CARP,8001,29
A_NP_CARP,4,10,CARP,162500,0
A_NP_CARP,4,10,CARP,6527,5
A_NP_CARP,4,10,CARP,0,17
A_NP_CARP,4,10,CARP,0,29
E_Clay_STHD,1,0.2,STHD,4733,0
E_Clay_STHD,1,0.2,STHD,8195,5
E_Clay_STHD,1,0.2,STHD,10449,17
E_Clay_STHD,1,0.2,STHD,11915,29
E_Clay_STHD,1,1,STHD,14583,0
E_Clay_STHD,1,1,STHD,68328,5
E_Clay_STHD,1,1,STHD,947678,17
E_Clay_STHD,1,1,STHD,94017,29
E_Clay_STHD,1,10,STHD,5980208,0
E_Clay_STHD,1,10,STHD,279760,5
E_Clay_STHD,1,10,STHD,29899,17
E_Clay_STHD,1,10,STHD,9191,29
