Treatment,Replicate,Target,Concentration,Hours
F_TIO2_STHD,3,STHD,0,5
F_TIO2_STHD,3,STHD,0,17
F_TIO2_STHD,3,STHD,0,29
D_Algae_STHD,3,STHD,8694444,0
D_Algae_STHD,3,STHD,1443592,5
D_Algae_STHD,3,STHD,519264,17
D_Algae_STHD,3,STHD,202673,29
C_FPOM_STHD,3,STHD,5399306,0
C_FPOM_STHD,3,STHD,568543,5
C_FPOM_STHD,3,STHD,99361,17
C_FPOM_STHD,3,STHD,0,29
E_Clay_STHD,3,STHD,0,0
E_Clay_STHD,3,STHD,0,5
E_Clay_STHD,3,STHD,0,17
E_Clay_STHD,3,STHD,5224,29
D_Algae_STHD,4,STHD,6386806,0
D_Algae_STHD,4,STHD,1571531,5
D_Algae_STHD,4,STHD,847292,17
D_Algae_STHD,4,STHD,365123,29
C_FPOM_STHD,4,STHD,7836111,0
C_FPOM_STHD,4,STHD,684167,5
C_FPOM_STHD,4,STHD,68736,17
C_FPOM_STHD,4,STHD,0,29
B_PG_STHD,4,STHD,5419444,0
B_PG_STHD,4,STHD,1914983,5
B_PG_STHD,4,STHD,1473403,17
B_PG_STHD,4,STHD,477050,29
E_Clay_STHD,4,STHD,965,0
E_Clay_STHD,4,STHD,61643,5
E_Clay_STHD,4,STHD,2641,17
E_Clay_STHD,4,STHD,6307,29
F_TIO2_STHD,4,STHD,0,0
F_TIO2_STHD,4,STHD,0,5
F_TIO2_STHD,4,STHD,0,17
F_TIO2_STHD,4,STHD,0,29
A_NP_STHD,4,STHD,9305556,0
A_NP_STHD,4,STHD,4727592,5
A_NP_STHD,4,STHD,280389,17
A_NP_STHD,4,STHD,213588,29
